Title,Perusahaan,Kategori,Lokasi,Skills
Backend Engineer (Node.JS / Express.Js) - English Speaker,SIGMATECH,Software Engineer,Jakarta,"MySQL, Javascript, Microsoft SQL Server, SQL Server, Express.js, Javascript Frameworks, Docker, C#, Node.js"
Security Engineer Corporate IT&IS,Kompas Gramedia,DevOps & Cloud Management,Jakarta,"Communication Skills, Network Security, Cyber Security"
Frontend Engineer (React.Js / Nuxt.Js) - Software Company (English Speaker),SIGMATECH,Software Engineer,Jakarta,"React.js, HTML+CSS, Tailwind CSS, Debugging, Javascript, TypeScript, HTML5 & CSS3, RESTful Services, REST APIs, Javascript Frameworks, HTML"
Service Desk & Support Manager Corporate IT&IS,Kompas Gramedia,Hardware & Embedded Systems,Jakarta,"ITIL, Technical Support, Communication Skills"
Fullstack Developer - Software Company (English Speaker),SIGMATECH,Software Engineer,Jakarta,"React.js, Full-stack Web Development, Software Engineering, Express.js, Software Development, Node.js"
Solution Analyst Corporate IT&IS ,Kompas Gramedia,Enterprise Software & Systems,Jakarta,"Business Analysis, Communication Skills, Project Management"
Quality Assurance (Automation),Mobius Digital,QA & Testing,Jakarta,"Test Automation, Automation, QA, Unit Testing, Usability Testing, Software Testing, Quality Control, Regression Testing"
Audience Management Strategist,Kumparan,Media & Journalism,Jakarta,"Video Creation, Social Media Strategy, Digital Media"
Growth Intern (CRM),TIXid,Data & Analytics,Jakarta,"Social Media Marketing, Digital Marketing, Microsoft Excel, Google Analytics, English Language"
Fullstack Developer - Banking Industry (English Speaker),SIGMATECH,Software Engineer,Jakarta,"React.js, Full-stack Web Development, Javascript, TypeScript, Scala, Java, Python, Golang, Javascript Frameworks, Software Development, Next.js"
Software Engineer (English Speaker),SIGMATECH,Web Development,Jakarta,"React.js, Express.js, Node.js"
QA Automation ,Indocyber Global Teknologi,QA & Testing,Jakarta,"QA, Software Testing, Test Cases"
Digital Ads,FOREXimf,Marketing & PR,"Bandung, Java","Business Development & Partnerships, Marketing Strategy, Sales Strategy & Management, Content Marketing, Digital Marketing, Business Development, Communication Skills, Marketing, Marketing Communications, Sales & Marketing"
Data Science & AI/ML,detik.com,IT Engineer,Jakarta,"Pytorch, MySQL, LookerStudio, Microsoft SQL Server, Metabase, SQL Server, Python, SQL, Machine Learning, BigQuery, Artificial Intelligence (AI), Apache, Tensorflow, Cloud Computing, Google Cloud Platform (GCP), MLOps"
Account Manager [Commerce Boost],Boleh Dicoba Digital,Project & Product Management,Jakarta,"Presentation Skills, Client Relations, Analytics, Analytics & Reporting, Digital Marketing, Relationship Building, Public Speaking & Presentations, Analytical Skills, Communication Skills, Marketing, Marketing Communications, Project Management"
IT Support,Cakap,Enterprise Software & Systems,Tangerang,"Technical Support, Communication Skills, Information Technology, Telecommunications"
Accounting & Tax Freelance,Boleh Dicoba Digital,"Finance, Legal & Accounting","Bandung, Java","Attention to Detail, Accounting, Data Entry, Accounts Payable, Data Management, Microsoft Excel"
Business Operations Analyst,Little Joy Indonesia,Executive & Management,Jakarta,"Business Operations, Management, Agile, Operations Management, Analytics & Reporting, Analytical Skills, Scheduling, Communication Skills, Operations"
IT Product Specialist,PT Sinergy Informasi Pratama,Sales & Business Development,Jakarta,"Business Development & Partnerships, Product Marketing, Technology, Sales & Marketing"
Social Media Engagement Specialist (Part-Time),SEO Copilot Pte. LTD.,Marketing & PR,Yogyakarta,"Content Marketing, Digital Marketing, Marketing, Marketing Communications, Sales & Marketing"
QA Automation,Cakap,QA & Testing,Sleman,"Test Automation, MySQL, Javascript, Playwright, Cypress, Selenium"
UI/UX Designer - Transportation Industry,SIGMATECH,UI/UX Design,Jakarta,"UI/UX Design, Wireframing, Responsive Design, Usability Testing, Interaction Design, User Research, Figma"
Team Promotion School (Part-time),Bina Nusantara Group,Marketing & PR,Tangerang,"Content Marketing, Marketing, Sales & Marketing"
Project Manager (AI Chatbot),Mekari,Project & Product Management,Jakarta,"Artificial Intelligence (AI), Agile Project Management, Project Management"
Key Account Management ,PT Allo Bank Indonesia Tbk,Sales & Business Development,Jakarta,"Business Development & Partnerships, Business Development, Data Analysis, Strategic Partnerships"
Account Manager,Boleh Dicoba Digital,Project & Product Management,"Bandung, Java","Attention to Detail, Digital Marketing, Communication Skills, Agile Project Management, Marketing Communications, Project Management"
Android Developer,Indocyber Global Teknologi,Mobile Development,Jakarta,"Kotlin, Android, Mobile Development"
Branch Manager,Cakap,Sales & Business Development,Jakarta,"Business Operations, Sales Strategy & Management, Operations Management, Sales & Marketing"
Frontend Engineer,Makmur,Web Development,Jakarta,"React.js, Javascript, REST APIs"
iOS Developer,Indocyber Global Teknologi,Mobile Development,Jakarta,"Mobile Application Development, iOS Development, Mobile Development"
Senior Product Manager,PT Tiga Daya Digital Indonesia,Project & Product Management,Jakarta,"Analytics & Reporting, Scrum Master, Leadership, Product Management, Communication Skills, Scrum, Agile Project Management, Project Management"
Mandarin Teacher,Cakap,Science & Academics,Jakarta,"Simplified Chinese Language, Time Management, Training, Traditional Chinese Language"
Internship SEO Analyst,Kumparan,Media & Journalism,Indonesia Bulk Terminal,"Attention to Detail, Analytical Skills, SEO"
Penetration Tester,PT Tiga Daya Digital Indonesia,IT Engineer,Jakarta,"Information Security, Security, Network Security, Cyber Security"
Fullstack Developer (English Speaker),SIGMATECH,Web Development,Jakarta,"Javascript, TypeScript, Scala, Java, Python, Golang"
Product Designer,Kumparan,UX/UI Design,Jakarta,"UI/UX Design, HTML+CSS, Javascript, Figma, Digital Media"
Jr. Data Analyst,Indocyber Global Teknologi,Data & Analytics,Jakarta,"Databases, Data Visualization, Data Analysis"
Software Developer - Back End (Laravel) - Loc. Semarang,SIGMATECH,Software Engineer,Semarang,"Backend Development, Databases, Laravel, PHP, Java, REST APIs, Version Control, Software Development, APIs"
IT Helpdesk L2 (Loc. Semarang) - Manufacture Industry,SIGMATECH,Hardware & Embedded Systems,Semarang,"Windows 7, Computer Vision, Help Desk, PC, Windows XP, Zendesk, Troubleshooting, Technical Support, Software, Hardware Engineering"
SPG Tangerang,Little Joy Indonesia,Sales & Business Development,Tangerang,"Sales Strategy & Management, Sales, Salesforce, Sales Support, Sales & Marketing"
Brand Marketing Manager,Little Joy Indonesia,Marketing & PR,Jakarta,"Business Development & Partnerships, Metabase, Content Marketing, Digital Marketing, Business Development, Social Media, Communications, Marketing Communications, Sales & Marketing"
Project Manager,Graha Karya Informasi,Project & Product Management,Jakarta,"Asana, Scrum Master, Enterprise Software, Jira, Scrum"
Business Intelligence Intern,PT Allo Bank Indonesia Tbk,Data & Analytics,Jakarta,"Analytical Skills, Communication Skills, Data Analysis"
IT Project Manager (Life Insurance Industry),SIGMATECH,Project & Product Management,Jakarta,"Agile, Jira, Agile Project Management"
Cloud Engineer,Graha Karya Informasi,DevOps & Cloud Management,Jakarta,"Databases, SQL, Linux, Cloud Computing"
Product Manager Internhsip,TurnkeyID,Project & Product Management,Jakarta,"Problem Solving, Sales Strategy & Management, Business Analysis, Product Management"
SAP SD - Automotive Industry,SIGMATECH,Software Engineer,Jakarta,"SAP, Debugging, CRM"
SAP SM - Automotive Industry,SIGMATECH,Software Engineer,Jakarta,"SAP, Debugging, Business Analysis"
Finance Specialist,Rocketindo,"Finance, Legal & Accounting",Jakarta,"Corporate Finance, Accounting, Financial Modelling & Valuation, Business Analysis, Financial Analysis, Financial Management"
IT Business Analyst (SAP ABAP),SIGMATECH,Sales & Business Development,Jakarta,"SAP, Business Analysis, CRM"
Senior Fullstack / Backend Engineer,Lign,Software Engineer,Jakarta,"Flutter, Automation, Javascript, TypeScript, Python, LLM, Github"
Programmer,PT Metrocom Global Solusi,QA & Testing,Jakarta,"PHP, Java, Spring, Angular"
Marketing Lead [Boleh Belajar],Boleh Dicoba Digital,Marketing & PR,"Bandung, Java","Marketing Strategy, Community Management, Social Media Marketing, Content Marketing, Digital Marketing, Social Media Strategy, Social Media, Communication Skills, Marketing, Marketing Communications, Online Marketing"
Data Analyst - Manufacturing Industry (Full WFO),SIGMATECH,Data & Analytics,Jakarta,"Data Visualization, Tableau, Data Analysis"
IT Business Process Analyst (BPA) - SAP Modul Presales,SIGMATECH,Data & Analytics,Jakarta,"SAP, Debugging, Business Analysis, CRM"
IT Operations & Asset Management Intern,NRI Indonesia,Enterprise Software & Systems,Jakarta,"Infrastructure, Troubleshooting, System Administration"
Freelance SEO Writer,Kumparan,Media & Journalism,Indonesia Bulk Terminal,"Writing, SEO, Digital Media"
Customer Support,Boleh Dicoba Digital,Customer Service,"Bandung, Java","Attention to Detail, Customer Experience, Customer Service, CRM, Customer Relationship Management, Communication Skills, Marketing Communications, Sales & Marketing"
Wireless Engineer - Mining Industry,SIGMATECH,IT Engineer,Jakarta,"Wireless, Networking, Security"
iOS Developer - Banking Industry,SIGMATECH,Mobile Development,Jakarta,"Javascript, iOS Development, Xcode, Objective-C, Javascript Frameworks, Swift, iOS Design"
Backend Developer,PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"Java, Docker, Spring"
Product Marketing (Influence ID),Playmakers,Marketing & PR,Jakarta,"Business Development & Partnerships, Marketing Strategy, Sales Strategy & Management, Content Marketing, Business Analysis, Digital Marketing, Business Development, Product Management, Communication Skills, Marketing, Marketing Communications, Sales & Marketing, Project Management"
Full Stack Software Engineer (Playmakers),Playmakers,IT Engineer,Jakarta,"MySQL, Sales Strategy & Management, Python, Digital Marketing, Business Development, Product Management, Project Management"
DevOps Engineer,PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"Bash, Jenkins, Azure, Python"
Scrum Master,PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"Agile, Scrum Master, Agile Software Development, Scrum"
React Native Developer,Indocyber Global Teknologi,Mobile Development,Jakarta,"Mobile Application Development, Mobile, Mobile Development"
Finance Staff,TLab,"Finance, Legal & Accounting",Yogyakarta,"Corporate Finance, Accounts Payable, Budgeting"
Golang Developer,Indocyber Global Teknologi,Web Development,Jakarta,"Backend Development, Web Development, Golang, Web Application Frameworks"
English Teacher - Jabodetabek,Cakap,Science & Academics,Tangerang,"Communication Skills, English Language, Teamwork"
Project Manager (Creative Service),Boleh Dicoba Digital,Project & Product Management,"Bandung, Java","Presentation Skills, Analytics & Reporting, Digital Marketing, Communication Skills, Project Management"
Web Developer,Boleh Dicoba Digital,Web Development,"Bandung, Java","React.js, HTML+CSS, MySQL, Javascript, Magento, CSS, Web Analytics, Web Development, REST APIs, Vue.js, Web Application Frameworks, SCSS/SASS, HTML, WordPress, Teamwork, CMS"
Executive Assistant (Business & Operations),TurnkeyID,Executive & Management,Jakarta,"Management, Process Management, Executive Management"
Junior QA Automation - Insurance Industry,SIGMATECH,QA & Testing,Jakarta,"Test Automation, Selenium, C#, .NET"
Fresh Graduate Management Training Program (Remote),Deliveree On-Demand Logistics (Southeast Asia),Logistics & Operations,Solo City,"Management, Logistics, Communication Skills"
Digital Marketing Intern,Ematic Solutions,Strategy & Consulting,Jakarta,"Business Development & Partnerships, Digital Marketing, Sales & Marketing"
PE Coach - Jabodetabek,Cakap,Science & Academics,Tangerang,"Training, Communication Skills, Teamwork"
CRM Intern,Ematic Solutions,Strategy & Consulting,Jakarta,"Email Marketing, CRM, Customer Relationship Management"
Senior Software Quality Assurance (Manual),PT BIPO Service Indonesia,QA & Testing,Jakarta,"QA, SQL, Jira, Software Testing"
Data Engineer - Manufacture Industry,SIGMATECH,Data & Analytics,Jakarta,"Kafka, Databases, Data Warehouse, Amazon Web Services (AWS), Data Visualization, Snowflake, Scala, Python, Flink, SQL, Linux, Big Data, Airflow, Cloud Computing"
Back End Developer (Mid),PT LOG KAR INDONESIA,Web Development,Jakarta,"MySQL, Git, Golang, PostgreSQL, Node.js, Redis, MongoDB"
UI/UX Designer,PT LOG KAR INDONESIA,UX/UI Design,Jakarta,"Sketch, Adobe Photoshop, Illustrator"
Visual Designer Specialist (Beauty Brand),Rocketindo,Graphic & Motion Design,Jakarta,"Marketing Strategy, Adobe Illustrator, Adobe Premiere, Content Marketing, Adobe Indesign, Adobe After Effects, Adobe Photoshop, Content Management, Content Creation, Photography, Marketing Communications, Sales & Marketing"
Customer Service Agent (REMOTE),Deliveree On-Demand Logistics (Southeast Asia),Customer Success,Surakarta,"Customer Experience, Customer Service, Customer Relationship Management"
Fresh Graduate Management Training Program (Onsite),Deliveree On-Demand Logistics (Southeast Asia),Logistics & Operations,Jakarta,"Business Operations, Digital Marketing, Business Development, Sales & Marketing, Project Management"
.NET Developer,Indocyber Global Teknologi,Software Engineer,Jakarta,"React.js, ASP.NET, C#, .NET"
Finance Staff,Graha Karya Informasi,"Finance, Legal & Accounting",Jakarta,"Corporate Finance, Microsoft Office, Microsoft Excel, Financial Analysis"
Fullstack Developer - Manufacture Industry,SIGMATECH,Software Engineer,Jakarta,"React.js, HTML+CSS, Full-stack Web Development, MySQL, Javascript, Agile, Laravel, Microsoft SQL Server, PHP, CSS, DevOps, HTML5 & CSS3, SQL Server, Python, Javascript Frameworks, IBM DB2, Agile Software Development, Vue.js, Enterprise Software, PostgreSQL, HTML, APIs, Node.js, CSS3, Agile Project Management"
Fullstack Developer (Manufacture Industry),SIGMATECH,Web Development,Jakarta,"React.js, Javascript, PHP, DevOps"
Quality Engineer (Insurance Industry),SIGMATECH,QA & Testing,Jakarta,"Automation, Selenium, Functional Testing"
Recruiter Freelance,Boleh Dicoba Digital,Human Resources,"Bandung, Java","Attention to Detail, Data Entry, Human Resources, Forecasting, Recruiting, Data Management, Requirements Analysis, Communication Skills, Communications, Project Management"
Business Development Executive,Boleh Dicoba Digital,Sales & Business Development,"Bandung, Java","Business Development & Partnerships, Marketing Strategy, Sales Strategy & Management, Sales, Business Development, CRM, Communication Skills, Marketing Communications, Sales & Marketing"
Data Scientist,Kumparan,Data & Analytics,Jakarta,"Python, SQL, LLM"
Digital Marketing Lead,Boleh Dicoba Digital,Marketing & PR,Jakarta,"Presentation Skills, Marketing Strategy, Facebook Advertising, Advertising, Digital Marketing, Social Media Strategy, Public Speaking & Presentations, Social Media, Communication Skills, Market Research, Marketing Communications, Negotiation"
Front End Developer (React Js) - Banking Syariah Industry,SIGMATECH,Web Development,Jakarta,"React.js, Web Development, Front-end Development"
Senior Backend Developer (Java Springboot),PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"MySQL, Git, Java, REST APIs, SQL"
Associate Data Analyst,ISIXI Private Limited,Data & Analytics,Bekasi,"MySQL, PowerBI, SQL"
Technical Support Internship,PT Sinergy Informasi Pratama,IT Engineer,Jakarta,"Problem Solving, Networking, Technical Support, Analytical Skills"
Product Manager (Onsite in Medan),Topremit,Project & Product Management,"Medan, Sumatra","Attention to Detail, Problem Solving, Analytical Skills, Communication Skills"
Project Officer Intern,Boleh Dicoba Digital,Project & Product Management,"Bandung, Java","Attention to Detail, Communication Skills, Creative Problem Solving, Negotiation, Project Management"
Technical Writer,Gefami Services Indonesia,Software Engineer,Jakarta,"Team Management, Technical Writing, Technical Support, Teamwork"
QA Automation,Gefami Services Indonesia,QA & Testing,Jakarta,"Test Automation, Automation, QA"
QA Manual,Gefami Services Indonesia,QA & Testing,Jakarta,"QA, Unit Testing, Functional Testing"
Senior Automation Tester,PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"Test Plans, Test Automation, Software Testing"
System Analyst,Gefami Services Indonesia,Software Engineer,Jakarta,"Mobile Application Development, Databases, SQL, Web Applications"
Project Manager,Gefami Services Indonesia,Project & Product Management,Jakarta,"Agile, Jira, Project Management"
Senior Frontend Engineer,PT Appfuxion Consulting Indonesia,Web Development,Jakarta,"React.js, Javascript, REST APIs"
Backend Developer ,Gefami Services Indonesia,Web Development,Jakarta,"Backend Development, Java, Python, Golang"
Fullstack Developer,Gefami Services Indonesia,Web Development,Jakarta,"React.js, Web Development, Front-end Development, Vue.js, Next.js"
Sr. Business Manager,Cakap,Enterprise Software & Systems,Tangerang,"Business Development & Partnerships, Marketing Strategy, Sales Strategy & Management, Business Analysis, Business Development, Communication Skills, Marketing Communications, Sales & Marketing"
Course Manager For Language Business,Cakap,Strategy & Consulting,Tangerang,"Business Analysis, Business Development, Product Management, Communication Skills, Project Management"
ETL Developer - Location: Yogyakarta (Full WFO),SIGMATECH,Data & Analytics,Yogyakarta,"Databases, Amazon Web Services (AWS), Azure, Microsoft SQL Server, SQL Server, Python, Oracle, PostgreSQL, Google Cloud Platform (GCP)"
Senior Scrum Master - 3 Month Project & Extendable,SIGMATECH,Project & Product Management,Jakarta,"Kanban, Scrum Master, Scrum, Agile Project Management, Project Management"
IT Project Manager (Manufacature Industry),SIGMATECH,Project & Product Management,Jakarta,"Asana, Microsoft Project, Jira, Agile Project Management, Project Management"
AI Chatbot Specialist,AiChat,UI/UX Design,Jakarta,"UI/UX Design, Data Science, Natural Language Processing (NLP), Copywriting"
IT Technical Leader ,PT. NAWA DATA SOLUTIONS,Software Engineer,Jakarta,"ASP.NET, MVC, SQL Server, C#, APIs, Cross-Functional Team Leadership"
Outsystems Developer,Gefami Services Indonesia,Mobile Development,Jakarta,"Mobile Application Development, Agile Software Development, Mobile Application Design"
AWS DevOps Engineer,PT Tiga Daya Digital Indonesia,Software Engineer,Jakarta,"Amazon Web Services (AWS), DevOps, Cloud Computing"
L1 STORAGE ENGINEER,PT Metrocom Global Solusi,IT Engineer,Jakarta,"Technology, Information Security, IBM Websphere, IBM DB2, Technical Support, Information Technology"
Account Manager,Boleh Dicoba Digital,Project & Product Management,Jakarta,"Presentation Skills, Marketing Strategy, Business Analysis, Digital Marketing, Public Speaking & Presentations, Communication Skills, Communications, Agile Project Management, Negotiation, Project Management"
Intern - Collection & Recovery,PT Allo Bank Indonesia Tbk,Administrative & Clerical,Jakarta,"Writing, Communication Skills, Operations"
Admin & Marketing Officer,Cakap,Marketing & PR,Jakarta,"Marketing Strategy, Content Marketing, System Administration, Marketing, Marketing Communications, Sales & Marketing, Operations"
Branch Manager,Cakap,Sales & Business Development,Bandar Lampung,"Business Operations, Sales Strategy & Management, Operations Management, Business Development, Sales & Marketing, Operations"
People & Sustainability Team Lead,Cakap,Human Resources,Tangerang,"People Management, Human Resources, Communication Skills"
Facility Management - Electrical Engineering,Cakap,Logistics & Operations,Tangerang,"Electrical Engineering, Technical Support, Project Management"
HR Service Delivery Consultant,PT BIPO Service Indonesia,Human Resources,Jakarta,"Human Resources, Communication Skills, Payroll"
Online Sales Specialist (Night/Weekend Shift),Rocketindo,Customer Success,Jakarta,"Sales Strategy & Management, Customer Experience, Customer Service, Digital Marketing, Communication Skills, Marketing Communications, Sales & Marketing"
Auditor,Rocketindo,"Finance, Legal & Accounting",Jakarta,"Business Operations, Corporate Finance, Data Warehouse, Operations Management, Analytics & Reporting, Financial Analysis, Audit, Financial Management"
HR Specialist,Rocketindo,Human Resources,Jakarta,"People Management, Human Resources, Recruiting, Consulting, System Administration, Communication Skills"
Social Media Specialist,Rocketindo,Community Management,Jakarta,"Content Marketing, Digital Marketing, Adobe Photoshop, Communication Skills, Marketing Communications"
Live Streamer (Part Time),Rocketindo,Marketing & PR,Bekasi,"Communication Skills, Marketing, Marketing Communications, Sales & Marketing"
Regional Sales Representative,Rocketindo,Sales & Business Development,Jakarta,"Business Development & Partnerships, Marketing Strategy, Strategic Planning, Sales Strategy & Management, Sales, Business Development, Analytical Skills, Communication Skills, Marketing, Marketing Communications, Negotiation, Sales & Marketing"
General Affair,PT Sinergy Informasi Pratama,Logistics & Operations,Jakarta,"Attention to Detail, Asset Management, Teamwork"
Legal & Compliance Management,PT Sinergy Informasi Pratama,"Finance, Legal & Accounting",Jakarta,"Attention to Detail, Agile, Legal"
Senior Partnership Manager,PT. Wahana Pembayaran Digital,Sales & Business Development,Jakarta,"Business Development & Partnerships, Business Development, Sales & Marketing"
Business Intelligence Developer (Multifinance Industry),SIGMATECH,Sales & Business Development,Jakarta,"LookerStudio, SQL Server, Data Management, BigQuery, PostgreSQL, Airflow, Tableau"
Research Assistant Research Assistant (AI/IT/Machine Learning),Bina Nusantara Group,Data & Analytics,Jakarta,"Javascript, Java, Python"
Golang Developer - Banking Industry,SIGMATECH,Software Engineer,Tangerang,"Databases, Amazon Web Services (AWS), Javascript, Java, Golang, SQL, Software Engineering, Javascript Frameworks, NoSQL, Spring, Software Development, Google Cloud Platform (GCP)"
Italian Language Specialist,True Indonesia,Sales & Business Development,Tangerang,"Communication Skills, Marketing Communications, Sales & Marketing"
UX/UI Designer,Antikode,UX/UI Design,Jakarta,"Sketch, UI/UX Design, Prototype, Wireframing, Adobe Creative Suite, Figma"
People & Sustainability Officer,Cakap,Human Resources,Tangerang,"Management, Human Resources, System Administration"
Scrum Master,PT Tiga Daya Digital Indonesia,Software Engineer,Jakarta,"Presentation Skills, Agile, Scrum Master, Communication Skills, Scrum"
Head Growth Marketing & Sales (Saas),super-staff.ai,Sales & Business Development,"Bandung, Java","Business Development & Partnerships, Marketing Strategy, Product Launch, Customer Acquisition, Sales Strategy & Management, Product Strategy, Market Research & Analysis, Business Development, Go to Market Strategy, Product Development, Communication Skills, Market Research, Marketing Communications, Sales & Marketing"
Account Executive,Gefami Services Indonesia,Sales & Business Development,Jakarta,"Team Management, Sales Strategy & Management, Product Strategy, Sales & Marketing"
Business Operation (Junior Level),Cakap,Sales & Business Development,Tangerang,"Business Development & Partnerships, Marketing Strategy, Sales Strategy & Management, Digital Marketing, Business Development, Marketing, Sales & Marketing"
Junior Quality Assurance (QA) Engineer,Automata Neo Solutions,QA & Testing,Jakarta,"Unit Testing, Software Testing, Functional Testing"
IT Infrastructure & Security Engineer,PT BIPO Service Indonesia,IT Engineer,Jakarta,"Amazon Web Services (AWS), Information Security, Software Engineering, Information Technology, Network Security, Cyber Security, Google Cloud Platform (GCP)"
Account Receivable,PT Sinergy Informasi Pratama,"Finance, Legal & Accounting",Jakarta,"Corporate Finance, Attention to Detail, Microsoft Excel"
Sales & Business Development Manager,Deliveree On-Demand Logistics (Southeast Asia),Sales & Business Development,Jakarta,"Business Development & Partnerships, Account Management, Sales Strategy & Management, Business Development, Sales & Marketing"
Operations Manager,Deliveree On-Demand Logistics (Southeast Asia),Executive & Management,Jakarta,"Management, Operations Management, Executive Management, Marketing Management, Program Management, Project Management"
Young Professionals Fast Track,Deliveree On-Demand Logistics (Southeast Asia),Logistics & Operations,Jakarta,"Business Development & Partnerships, Business Analysis, Digital Marketing, Business Development, Marketing, Marketing Communications, Sales & Marketing, Project Management"
IT Cloud Engineer (AWS),Indocyber Global Teknologi,IT Engineer,Jakarta,"Amazon Web Services (AWS), Alicloud, Cloud Computing"
Social media manager,GOODSTUPH,Marketing & PR,Jakarta,"Social Media Marketing, Social Media Strategy, Social Media, Marketing Communications"
Merchant Acquisition Specialist,PT. Wahana Pembayaran Digital,Sales & Business Development,Jakarta,"Sales Strategy & Management, Sales, Business Development, Sales & Marketing"
Senior FrontEnd Engineer,Makmur,Software Engineer,Jakarta,"React.js, Javascript, TypeScript, Next.js"
English Customer Satisfaction Executive,PT Gamer2Gamer  Global Group,Customer Service,Tangerang,"Problem Solving, Customer Experience, Customer Service, Microsoft Excel, Game Design, Customer Relationship Management, Analytical Skills, English Language"
Ecommerce Operations Internship,Little Joy Indonesia,Sales & Business Development,Jakarta,"E-commerce, Sales, Microsoft Excel, System Administration, Sales & Marketing"
Editorial Illustrator,Tech in Asia,Graphic & Motion Design,Jakarta,"Graphic Design, Interactive Design, Design, Communication Skills, Brand Design & Strategy"
Social Media Designer,Tech in Asia,Graphic & Motion Design,Jakarta,"Graphic Design, Design Research, Social Media, Design, Design Management"
Reporter News (Semarang),Kumparan,Media & Journalism,Semarang,"Writing, Journalism, Digital Media"
Host Live Lead ,Little Joy Indonesia,Marketing & PR,Jakarta,"Support, Sales, Sales Support, Marketing, Sales & Marketing, Online Marketing"
Senior System Analyst - Banking Industry,SIGMATECH,Software Engineer,Jakarta,"ASP.NET, Agile, Middleware, SQL, Agile Software Development, .NET, APIs, SDLC, Agile Project Management"
Senior Microsoft Power Platform Developer,PT Appfuxion Consulting Indonesia,Web Development,Tangerang,"PowerBI, Azure, REST APIs"
Junior Scrum Master - Banking Industry (Alam Sutra),SIGMATECH,Project & Product Management,Tangerang,"Kanban, Agile, Scrum Master, Agile Software Development, Jira, Scrum, Agile Project Management"
Data Analyst - Manufacture Industry,SIGMATECH,Data & Analytics,Jakarta,"MySQL, Data Warehouse, Amazon Web Services (AWS), Agile, Microsoft SQL Server, SQL Server, IBM DB2, Big Data, Agile Software Development, PostgreSQL, Redshift, Business Intelligence, Tableau, Data Analysis, Agile Project Management, Google Cloud Platform (GCP)"
QA Automation - Manufacture Industry,SIGMATECH,QA & Testing,Jakarta,"Test Automation, Automation, Agile, Version Control, SQL, Agile Software Development, A/B Testing, Scrum, Agile Project Management, Regression Testing"
